date,open,high,low,close,volume,Symbol,Name,Industry
2018-01-02,29.75,29.9,29.61,29.9,57121603,BAC,Bank of America,Banks
2018-01-03,29.9,29.94,29.69,29.8,57865727,BAC,Bank of America,Banks
2018-01-04,29.97,30.44,29.88,30.19,76512451,BAC,Bank of America,Banks
2018-01-05,30.37,30.42,30.05,30.33,56445186,BAC,Bank of America,Banks
2018-01-08,30.23,30.27,30.05,30.12,42914839,BAC,Bank of America,Banks
2018-01-09,30.2,30.54,30.13,30.27,69479053,BAC,Bank of America,Banks
2018-01-10,30.37,30.73,30.31,30.55,63532811,BAC,Bank of America,Banks
2018-01-11,30.66,30.69,30.45,30.66,59318309,BAC,Bank of America,Banks
2018-01-12,30.88,31.2,30.77,31.19,66371596,BAC,Bank of America,Banks
2018-01-16,31.74,31.79,31.03,31.24,104467922,BAC,Bank of America,Banks
2018-01-17,31.0,31.29,30.34,31.18,124382905,BAC,Bank of America,Banks
2018-01-18,31.33,31.71,31.21,31.48,76463847,BAC,Bank of America,Banks
2018-01-19,31.58,31.74,31.46,31.72,66490985,BAC,Bank of America,Banks
2018-01-22,31.67,31.94,31.58,31.94,53848818,BAC,Bank of America,Banks
2018-01-23,31.86,32.13,31.785,31.92,56531378,BAC,Bank of America,Banks
2018-01-24,32.01,32.21,31.82,32.09,81585015,BAC,Bank of America,Banks
2018-01-25,32.24,32.25,31.93,32.09,62265824,BAC,Bank of America,Banks
2018-01-26,32.11,32.2,31.95,32.2,52699881,BAC,Bank of America,Banks
2018-01-29,32.25,32.45,32.18,32.28,59126457,BAC,Bank of America,Banks
2018-01-30,31.95,32.2,31.85,31.88,60555757,BAC,Bank of America,Banks
2018-01-31,32.05,32.29,31.95,32.0,65734118,BAC,Bank of America,Banks
2018-02-01,32.0,32.5,31.96,32.5,62367448,BAC,Bank of America,Banks
2018-02-02,32.44,32.67,31.86,31.95,96971924,BAC,Bank of America,Banks
2018-02-05,31.12,31.98,29.15,30.26,155908256,BAC,Bank of America,Banks
2018-02-06,29.41,31.29,29.3,31.2,165878399,BAC,Bank of America,Banks
