date,open,high,low,close,volume,Symbol,Name,Industry
2018-01-02,170.16,172.3,169.26,172.26,25555934,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-03,172.53,174.55,171.96,172.23,29517899,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-04,172.54,173.47,172.08,173.03,22434597,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-05,173.44,175.37,173.05,175.0,23660018,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-08,174.35,175.61,173.93,174.35,20567766,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-09,174.55,175.06,173.41,174.33,21583997,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-10,173.16,174.3,173.0,174.29,23959895,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-11,174.59,175.4886,174.49,175.28,18667729,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-12,176.18,177.36,175.65,177.09,25418080,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-16,177.9,179.39,176.14,176.19,29565947,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-17,176.15,179.25,175.07,179.1,34386836,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-18,179.37,180.1,178.25,179.26,31193352,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-19,178.61,179.58,177.41,178.46,32425067,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-22,177.3,177.78,176.6016,177.0,27108551,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-23,177.3,179.44,176.82,177.04,32689146,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-24,177.25,177.3,173.2,174.22,51105090,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-25,174.505,174.95,170.53,171.11,41529004,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-26,172.0,172.0,170.06,171.51,39143011,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-29,170.16,170.16,167.07,167.96,50640406,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-30,165.525,167.37,164.7,166.97,46048185,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-31,166.87,168.4417,166.5,167.43,32478930,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-02-01,167.165,168.62,166.76,167.78,47230787,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-02-02,166.0,166.8,160.1,160.5,86593825,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-02-05,159.1,163.88,156.0,156.49,72738522,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-02-06,154.83,163.72,154.0,163.03,68243838,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-02-07,163.085,163.4,159.0685,159.54,51608580,AAPL,Apple,"Technology Hardware, Storage & Periph..."
2018-01-02,14.43,14.63,14.38,14.61,7155665,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-03,14.6,14.75,14.54,14.7,7907246,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-04,14.7,15.07,14.655,15.06,11333534,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-05,15.06,15.19,14.96,15.05,12539445,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-08,14.95,14.97,14.645,14.82,13052064,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-09,14.85,14.98,14.81,14.85,14481208,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-10,14.76,15.31,14.76,15.19,10171279,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-11,15.2,15.49,15.17,15.45,8239942,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-12,15.45,15.87,15.42,15.81,15520654,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-16,15.82,15.915,15.715,15.81,9664432,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-17,15.86,16.1,15.82,16.07,9450341,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-18,16.03,16.1,15.94,15.97,9774631,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-19,15.97,16.09,15.91,16.08,9139535,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-22,16.05,16.08,15.9,16.05,9415501,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-23,16.28,16.72,16.2,16.67,14446977,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-24,16.71,16.89,16.6,16.68,11806028,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-25,16.71,16.84,16.45,16.48,7765839,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-26,16.55,16.84,16.55,16.71,9762409,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
2018-01-29,16.66,17.065,16.62,16.97,10537107,HPE,Hewlett-Packard Enterprise Company,"Technology Hardware, Storage & Periph..."
